År	Län	Distance from station	Graderingsdatum	Mjöldagg % ang blad 1–3	Kornets bladfläcksjuka % ang blad 1–3	Sköldfläcksjuka % ang blad 1–3	Kornrost % ang blad 1–3	Trips antal/strå	Trips % ang bladslidor	Havrebladlus antal/strå	Sädesbladlus antal/strå	Svartpricksjuka % ang blad 1–3	Trips antal/planta	Bladlus antal/blad	Gröna löss antal/25 pl	Stritnymfer antal/blad	Vetets bladfläcksjuka % ang blad 1–3	Stråknäckare index	Primär angrepp % ang plantor	Bladmögel % ang plantor	Rotbrand ang pl/10 pl	Apotecier A antal/25 skl	Apotecier C antal/25 skl	Ärtvecklare antal/fälla	Bladmögel % ang bladyta	Bladfläcksvampar % ang blad 1–3	Betfluga 0–5	Jordburna insekter ang pl/10 pl	Fusarium % ang plantor	Rapsbagge antal/planta	Betrost % angripna blad	Stritar antal/dygn/fälla1	Stritar antal/dygn/fälla2	Betfluga ang pl/25 pl	Mjöldagg % angripna blad	Ärtbladlus antal/toppskott	Blygrå rapsvivel antal/planta	Längd cm	Cercospora % angripna blad	Stinkfly antal/blad	Betbladlus ang pl/25 pl	Svamp totalt % angripna blad	Ärtvivel % angripna blad	Planttäthet antal/100m	Alternaria % ang bladyta	Minerarfluga-stick % ang blad 1–3	Apotecier B antal/25 skl	Bipolaris % ang plantor	Apotecier D antal/25 skl	Jordloppor ang pl/25 pl	Bladmögel % angripna blad	Fritfluga % ang plantor	Jordloppor antal/meter	Brunrost % ang blad 1–3	Gräsbladlus antal/strå	Trips ang pl/25 pl	Vattentillgång 0–5	Gulrost % ang blad 1–3	Betbladlus antal/planta	Trips antal/toppskott	Kronrost % ang blad 1–3	Ramularia % angripna blad	Jordloppor % ang plantor	Nederbörd mm	Fjärilslarver % angripna blad
2007	Skåne län	10-20	2007-05-07	0						0	0								0							0																										0			0						0				
2007	Skåne län	10-20	2007-05-14	0						0	0								0							2																										0			0						0				
2007	Skåne län	10-20	2007-05-21	0						0	0								0							2																										0			0						0				
2007	Skåne län	10-20	2007-05-28	0						0	0								0							4																										0			0						0				
2007	Skåne län	10-20	2007-06-04	0						0,12	0								0							8																										0			0						0				
2007	Skåne län	10-20	2007-06-11	2						0,4	0								0							8																													0						0				
2007	Skåne län	10-20	2007-06-18	0						0,3	0,01								0							6																													0						0				
2007	Skåne län	10-20	2007-06-25	0						0,2	0															10																													0						0				
2007	Skåne län	10-20	2007-07-02	0						0	0															37																													0						0				
2007	Skåne län	10-20	2007-04-30	6		0		0,5		0	0																																											2	0										
2007	Skåne län	10-20	2007-04-23	0		0		2		0	0																																											0	0										
2007	Skåne län	10-20	2007-05-07	8		0		0,6		0	0																																											0	0										
2007	Skåne län	10-20	2007-05-14	10		4				0	0																																											6	0										
2007	Skåne län	10-20	2007-05-21	10		6				0	0																																											6	0										
2007	Skåne län	10-20	2007-05-28	10		6				0	0																																											6	0										
2007	Skåne län	10-20	2007-06-04	15		6				0	0																																											24	0										
2007	Skåne län	10-20	2007-06-11	8		4			20	0	0																																											35	0										
2007	Skåne län	10-20	2007-04-23										0									0	0							0																	0		0				0										0	0	
2007	Skåne län	10-20	2007-05-21																													6						15																											
2007	Skåne län	10-20	2007-05-28											0																		6,5						30		0																									
2007	Skåne län	10-20	2007-06-04											0											0							83						50		0					0																				
2007	Skåne län	10-20	2007-06-11																						0							19						55							0																				
2007	Skåne län	10-20	2007-06-18																						0							7,5						85							0,01																				
2007	Skåne län	10-20	2007-06-25																													3,3						85							0,02																				
