Lat_name	Tax_id	Pat_name
Blumeria graminis 	34373	Mjöldagg % ang blad 1–3
Pyrenophora teres	53485	Kornets bladfläcksjuka % ang blad 1–3
Rhynchosporium secalis, R. graminicola	38038, 2792576	Sköldfläcksjuka % ang blad 1–3
Puccinia hordei	27345	Kornrost % ang blad 1–3
Thrips	45057	Trips antal/strå
Thrips	45057	Trips % ang bladslidor
Rhopalosiphum padi	40932	Havrebladlus antal/strå
Sitobion avenae	44664	Sädesbladlus antal/strå
Zymoseptoria tritici	1047171	Svartpricksjuka % ang blad 1–3
Aphidoidea	33385	Bladlus antal/blad
Aphidoidea	33385	Gröna löss antal/25 pl
Eupteryx atropunctata	1276742	Stritnymfer antal/blad
Pyrenophora tritici-repentis	45151	Vetets bladfläcksjuka % ang blad 1–3
Oculimacula yallundae	86028	Stråknäckare index
Oculimacula yallundae	86028	Primär angrepp % ang plantor
Peronospora viciae f. sp. pisi	115718	Bladmögel % ang plantor
Aphanomyces cochlioides, Pythium sp., Rhizoctonia solani	112091, 4797, 456999	Rotbrand ang pl/10 pl
Cydia nigricana 	753170	Ärtvecklare antal/fälla
Phytophthora infestans	4787	Bladmögel % ang bladyta
Pyrenophora teres, Bipolaris sorokiniana, Drechslera tritici-repentis, Drechslera avenae, 	53485, 45130, 45151, 33199	Bladfläcksvampar % ang blad 1–3
Pegomya hyoscyami	2365065	Betfluga 0–5
Fusarium	5506	Fusarium % ang plantor
Brassicogethes aeneus	1431903	Rapsbagge antal/planta
Uromyces betae	2153431	Betrost % angripna blad
Eupteryx atropunctata (Auchenorrhyncha)	1276742, 1955247	Stritar antal/dygn/fälla1
Eupteryx atropunctata (Auchenorrhyncha)	1276742, 1955247	Stritar antal/dygn/fälla2
Pegomya hyoscyami	2365065	Betfluga ang pl/25 pl
Erysiphe betae	62706	Mjöldagg % angripna blad
Acyrthosiphon pisum	7029	Ärtbladlus antal/toppskott
Ceutorhynchus obstrictus 	307131	Blygrå rapsvivel antal/planta
Cercospora	29002	Cercospora % angripna blad
Eupteryx atropunctata	1276742	Stinkfly antal/blad
Aphis fabae	191316	Betbladlus ang pl/25 pl
Sitona lineatus	202195	Ärtvivel % angripna blad
Alternaria	5598	Alternaria % ang bladyta
Hydrellia griseola	1262240	Minerarfluga-stick % ang blad 1–3
Bipolaris	33194	Bipolaris % ang plantor
Phyllotreta	224132	Jordloppor ang pl/25 pl
Peronospora viciae f. sp. pisi	115718	Bladmögel % angripna blad
Oscinella frit	137501	Fritfluga % ang plantor
Phyllotreta	224132	Jordloppor antal/meter
Puccinia triticina, Puccinia recondita	208348, 27348	Brunrost % ang blad 1–3
Metopolophium dirhodum	44670	Gräsbladlus antal/strå
Thrips	45057	Trips ang pl/25 pl
Puccinia striiformis	27350	Gulrost % ang blad 1–3
Aphis fabae	191316	Betbladlus antal/planta
Thrips	45057	Trips antal/toppskott
Puccinia coronata	27344	Kronrost % ang blad 1–3
Ramularia	112497	Ramularia % angripna blad
Phyllotreta	224132	Jordloppor % ang plantor
Lepidoptera	7088	Fjärilslarver % angripna blad
